Feature Combination,time,inertia,homogeneity_score,completeness_score,v_measure_score,adjusted_rand_score,adjusted_mutual_info_score
['restSensorValues and extensionSensorValues'],0.0,122429350.329,0.0860413626819,0.0913715260582,0.0886263750982,0.08670678336980313,0.073003341921
['restSensorValues and restPointsX'],0.0,27742025.0242,0.03339521471,0.0341965400012,0.0337911273515,0.041680189160369,0.0193053299527
['restSensorValues and restPointsY'],0.0,26935540.6865,0.0889879994113,0.0939172282304,0.0913861933662,0.11231900838276966,0.0759044577914
['restSensorValues and extensionPointsX'],0.0,28348315.5643,0.0583414411514,0.0584616463687,0.0584014819068,0.06212677368103879,0.0449566989798
['restSensorValues and extensionPointsY'],0.0,28431624.9119,0.0248254490396,0.0254211409778,0.0251197639344,-0.0018798022414324032,0.0106106497175
['restSensorValues and vectorsBetweenX'],0.0,29062903.3291,0.0111868292465,0.011848038731,0.0115079440715,0.009297755888578724,-0.00326062541499
['restSensorValues and vectorsBetweenY'],0.0,25575666.2994,0.0469173603794,0.0524287531699,0.0495201798809,0.06260082810676933,0.0330737485183
['restSensorValues and anglesBetween'],0.0,26214056.3719,0.00209448077261,0.00216160022498,0.00212751125359,-0.015492418021568956,-0.0121151844892
['extensionSensorValues and restSensorValues'],0.0,121552994.986,0.00741301429824,0.0074925840175,0.00745258677658,-0.0017024791298815187,-0.00704302486672
['extensionSensorValues and restPointsX'],0.0,50145116.7849,0.00618843462096,0.00647054629375,0.00632634695803,-0.00935806928254808,-0.00797454622264
['extensionSensorValues and restPointsY'],0.0,49856628.5762,0.0900679121578,0.0988607920647,0.0942597385842,0.11276353995707611,0.0769645919949
['extensionSensorValues and extensionPointsX'],0.0,50457150.4926,0.0306289403811,0.0324392965985,0.0315081356037,0.04125589279539876,0.0164655525459
['extensionSensorValues and extensionPointsY'],0.0,49539830.1411,0.00579724238633,0.00602924375417,0.00591096747317,-0.002086758568357178,-0.00871033846589
['extensionSensorValues and vectorsBetweenX'],0.0,50883427.8753,0.00140786976403,0.00146902347156,0.00143779664999,-0.015282923543280591,-0.0128549389558
['extensionSensorValues and vectorsBetweenY'],0.0,48324903.5149,0.00234191252719,0.0025705417372,0.00245090684697,-0.017712410049236228,-0.0120246921581
['extensionSensorValues and anglesBetween'],0.0,48623930.9852,0.0774613820742,0.0997309807169,0.0871967558901,0.0882797731568998,0.063999606715
['restPointsX and restSensorValues'],0.0,27975976.7476,0.00015572346732,0.000162822420537,0.000159193842081,-0.018059431948776943,-0.0140932278237
['restPointsX and extensionSensorValues'],0.0,51363759.3462,0.0130940453611,0.0131753941437,0.0131345937957,-0.001643385373870238,-0.000937295431449
['restPointsX and restPointsY'],0.0,227.204185293,0.0537200712479,0.224485426827,0.0866939956738,0.042277220479319734,0.0351171492838
['restPointsX and extensionPointsX'],0.0,202.735796264,0.0025622189226,0.00377624279735,0.00305296811094,-0.020871120194149877,-0.0127520916312
['restPointsX and extensionPointsY'],0.0,296.240618614,0.00847066597072,0.0148530002171,0.010788595797,0.010924291920654597,-0.00679925773002
['restPointsX and vectorsBetweenX'],0.0,185.253780333,0.0060013635273,0.0112621332019,0.00783018139346,0.017666195740930448,-0.0103799145433
['restPointsX and vectorsBetweenY'],0.0,321.681932596,0.0225502154576,0.0240850887254,0.0232923940173,0.02479464172880066,0.00839931582884
['restPointsX and anglesBetween'],0.0,53.4997564851,0.00545846897773,0.017389552982,0.00830884491062,-0.0011873920552677828,-0.0124203632078
['restPointsY and restSensorValues'],0.0,28182145.6045,2.68521450774e-05,2.72044611177e-05,2.70271549808e-05,-0.0170213483809476,-0.0147191950885
['restPointsY and extensionSensorValues'],0.0,49519310.5292,0.0615611504812,0.0653747928908,0.0634106834663,0.06351203501094099,0.048173908758
['restPointsY and restPointsX'],0.0,229.453650853,2.43327778686e-16,1.0,4.86655557373e-16,0.0,2.43327778686e-16
['restPointsY and extensionPointsX'],0.0,272.438959573,0.0142677917896,0.0369518891455,0.020586690543,-0.002431775195892854,-0.0022926802597
['restPointsY and extensionPointsY'],0.0,359.780172647,0.0300797662238,0.043039968717,0.0354112934992,0.01713073743745916,0.0158792286332
['restPointsY and vectorsBetweenX'],0.0,244.881842703,0.000874831404247,0.00139913629965,0.00107653980455,-0.015084099251087108,-0.014438997571
['restPointsY and vectorsBetweenY'],0.0,312.976161143,0.0105897573669,0.0136907343672,0.0119422256115,0.003099260203653646,-0.00377953716228
['restPointsY and anglesBetween'],0.0,90.9314680942,0.00640438795954,0.00671089284961,0.00655405888585,-0.021025166871429874,-0.00828314857163
['extensionPointsX and restSensorValues'],0.0,26395880.6853,0.0033469998932,0.00359722493214,0.00346760416505,-0.009281592140322514,-0.0109840510743
['extensionPointsX and extensionSensorValues'],0.0,50802249.907,0.0574237856791,0.0619725836929,0.0596115339634,0.06368933672718091,0.0439311517149
['extensionPointsX and restPointsX'],0.0,231.117893836,0.00436907221981,0.0139189602723,0.00665057246378,-0.004047927461139977,-0.0135293440064
['extensionPointsX and restPointsY'],0.0,260.29915018,0.000802077105366,0.00113346860062,0.000939403509197,-0.015411175207377118,-0.0140487831519
['extensionPointsX and extensionPointsY'],0.0,257.773682961,0.00585369014129,0.00926250820097,0.00717374193061,0.013045480124827319,-0.00960023464157
['extensionPointsX and vectorsBetweenX'],0.0,181.16409219,0.0103288001306,0.0181111699024,0.0131551934715,-0.018080860808944974,-0.00491251038408
['extensionPointsX and vectorsBetweenY'],0.0,327.497179094,0.0137095323781,0.0159459060272,0.0147433945835,0.0018015067147068024,-0.000450992804473
['extensionPointsX and anglesBetween'],0.0,43.5966400607,0.00962254918505,0.0302763554195,0.0146036951167,0.011282245507722234,-0.0083871276168
['extensionPointsY and restSensorValues'],0.0,27760373.2307,0.00136001211779,0.00156230283291,0.00145415591424,-0.018612585291887734,-0.0131765233479
['extensionPointsY and extensionSensorValues'],0.0,49058714.6968,0.0114209272777,0.0125090499432,0.0119402495369,-0.02996993211301431,-0.00375454935709
['extensionPointsY and restPointsX'],0.0,306.848268117,0.0210392255267,0.0281957287891,0.0240973635551,-0.015479589344517795,0.00658054047099
['extensionPointsY and restPointsY'],0.0,328.970458781,0.0158231900822,0.0233204926604,0.0188538513661,0.03193255843658201,0.000712482430487
['extensionPointsY and extensionPointsX'],0.0,257.16155045,0.00384308428599,0.00614632568177,0.00472917774331,0.005334259067181885,-0.0114252495717
['extensionPointsY and vectorsBetweenX'],0.0,354.939233156,0.0238046364085,0.0333577559951,0.0277829257831,0.03841762034053128,0.00914634900122
['extensionPointsY and vectorsBetweenY'],0.0,328.82745863,0.0440082266522,0.0510818407407,0.0472819356798,0.044724072012268135,0.0302514685955
['extensionPointsY and anglesBetween'],0.0,111.190142285,0.0245600822175,0.0628211067283,0.035314043328,0.025685270215103126,0.00791360617858
['vectorsBetweenX and restSensorValues'],0.0,27839753.9658,0.0139745615543,0.0153388281233,0.0146249478574,-0.009014013382148738,-0.00022452778586
['vectorsBetweenX and extensionSensorValues'],0.0,50828787.4564,0.0143386054683,0.0157198353198,0.0149974856159,0.021273717319985064,-0.000282835309964
['vectorsBetweenX and restPointsX'],0.0,177.864369772,0.0158981646969,0.0345300826905,0.0217721205893,-0.02273642960443446,-0.000312556992783
['vectorsBetweenX and restPointsY'],0.0,246.931962037,6.67475505305e-05,0.000100270664026,8.01448061407e-05,-0.009536561027675017,-0.0149193609262
['vectorsBetweenX and extensionPointsX'],0.0,175.335062044,0.026525966817,0.0509729623068,0.0348935687757,-0.02501949681269484,0.0110059378839
['vectorsBetweenX and extensionPointsY'],0.0,390.135320271,0.00498164807236,0.0110253401426,0.00686254824842,0.00024183796856099585,-0.0109836729385
['vectorsBetweenX and vectorsBetweenY'],0.0,393.666698592,0.0294408189984,0.0408176858258,0.0342081319077,0.0536317980600359,0.0146758493804
['vectorsBetweenX and anglesBetween'],0.0,80.9008554681,0.00275739699111,0.00529868313048,0.0036272163882,0.004183337854333502,-0.0131415711882
['vectorsBetweenY and restSensorValues'],0.0,27760389.759,0.0902226451969,0.0839467060121,0.0869716034354,0.063224269364011,0.0707746087477
['vectorsBetweenY and extensionSensorValues'],0.0,48516983.3105,0.00172090614433,0.00200138151402,0.00185057688215,-0.02119460500963384,-0.0131634777816
['vectorsBetweenY and restPointsX'],0.0,318.752125238,0.00147036710026,0.00166024417026,0.00155954744643,-0.01658301596509377,-0.012868790752
['vectorsBetweenY and restPointsY'],0.0,319.393637607,0.00446881143959,0.00552443839517,0.00494086986833,-0.016335227272727248,-0.0100033243446
['vectorsBetweenY and extensionPointsX'],0.0,325.791224699,0.000651382039508,0.000757639028328,0.000700504011968,-0.015558467081559167,-0.0136966236803
['vectorsBetweenY and extensionPointsY'],0.0,327.266629664,0.00191479625085,0.00272289117177,0.00224844036782,-0.014991585070530047,-0.0128077034698
['vectorsBetweenY and vectorsBetweenX'],0.0,395.241156347,0.00695885218061,0.00860267896566,0.00769394357362,0.0010380244755245004,-0.00747708701617
['vectorsBetweenY and anglesBetween'],0.0,171.217925282,0.00319297750109,0.00518207814853,0.00395131916237,-0.013948983698933408,-0.0117928059409
['anglesBetween and restSensorValues'],0.0,28583882.1397,0.0831023553106,0.0997435981077,0.0906656972708,0.06606655755591927,0.069905603376
['anglesBetween and extensionSensorValues'],0.0,49539649.0459,9.73854048743e-05,0.000120888743964,0.000107871677323,-0.01489361702127658,-0.0143706348319
['anglesBetween and restPointsX'],0.0,51.9461465839,0.0080702207473,0.0255513123516,0.0122662301243,0.006445221883660015,-0.00986437442917
['anglesBetween and restPointsY'],0.0,97.4297940058,0.0165569112772,0.0214052377578,0.0186714731084,-0.005569441881531975,0.00227427962761
