Feature Combination,time,inertia,homogeneity_score,completeness_score,v_measure_score,adjusted_rand_score,adjusted_mutual_info_score
['restSensorValues and extensionSensorValues'],0.0,122038637.111,0.00989396764582,0.0121162385172,0.0108929167669,-0.02306206929016182,-0.00453063631461
['restSensorValues and restPointsX'],0.0,41441417.3324,0.00396710552113,0.00397103577087,0.00396906967305,-0.013611543432957906,-0.00991206779571
['restSensorValues and restPointsY'],0.0,42085368.7722,0.00834672829012,0.00814711732483,0.00824571494672,-0.00600682700494458,-0.0057083328832
['restSensorValues and extensionPointsX'],0.0,39295459.4559,0.00912636821233,0.00927373219522,0.0091994600944,-0.006222972260310151,-0.00469308709184
['restSensorValues and extensionPointsY'],0.0,39307658.5669,6.40685300763e-16,6.46454219535e-16,6.43556832093e-16,-0.018988844054118166,-0.0139409298141
['restSensorValues and vectorsBetweenX'],0.0,39409089.6648,0.00125039457755,0.00124046385436,0.00124540941971,-0.017582108446444908,-0.0126979757088
['restSensorValues and vectorsBetweenY'],0.0,41621174.5662,0.00274588651618,0.00280479420863,0.00277502777766,-0.013061237243664986,-0.0112297499597
['restSensorValues and anglesBetween'],0.0,42143574.6389,0.0097427909469,0.00939281786187,0.00956460405781,-0.005692599620493395,-0.00444007289502
['extensionSensorValues and restSensorValues'],0.0,113804385.323,0.00378511878105,0.00428100712019,0.00401781986813,-0.023339698705707585,-0.010824151971
['extensionSensorValues and restPointsX'],0.0,52242120.0289,0.0712273505248,0.0975721888018,0.0823439272522,0.03714768681373631,0.0579520889907
['extensionSensorValues and restPointsY'],0.0,52961861.1279,0.00299017272971,0.00350445227635,0.00322695078455,-0.010058969393745563,-0.01106476491
['extensionSensorValues and extensionPointsX'],0.0,50617447.7863,0.00348733202762,0.00455883272591,0.00395173697298,-0.012242899118511223,-0.0106905663179
['extensionSensorValues and extensionPointsY'],0.0,49241190.2742,7.6856708429e-05,0.000104447505102,8.85527290231e-05,-0.011122124080100385,-0.0143496101867
['extensionSensorValues and vectorsBetweenX'],0.0,50660485.0989,0.0028428270188,0.00343982817914,0.00311296296855,-0.013621751212335902,-0.0112493048102
['extensionSensorValues and vectorsBetweenY'],0.0,50807849.6066,0.0012337710708,0.00144739978323,0.00133207473723,-0.013980868285504065,-0.0128305437111
['extensionSensorValues and anglesBetween'],0.0,51397785.2975,7.77877264274e-05,8.62174022388e-05,8.17859264911e-05,-0.015839707310604065,-0.0140100754478
['restPointsX and restSensorValues'],0.0,42051871.7279,0.00974956625313,0.00982761789755,0.00978843648455,-0.0063998874745059536,-0.00407012239428
['restPointsX and extensionSensorValues'],0.0,51924012.3032,0.0122668576798,0.0154054009974,0.0136581450571,-0.0014696619777451454,-0.00171865672967
['restPointsX and restPointsY'],0.0,243.743917081,0.0369445552616,0.038503214024,0.0377077846497,0.016379613356766232,0.0233539476547
['restPointsX and extensionPointsX'],0.0,222.923395391,0.0494314448567,0.158266391683,0.0753338267118,-0.013854994883098463,0.0325303448006
['restPointsX and extensionPointsY'],0.0,253.864877842,0.00157426759682,0.00257807920272,0.00195483987576,-0.00322490185081328,-0.0132027734265
['restPointsX and vectorsBetweenX'],0.0,151.464221508,0.035329822762,0.0790668106315,0.0488373883584,0.02458898936891243,0.020106110574
['restPointsX and vectorsBetweenY'],0.0,367.833896785,0.183550597655,0.203441550949,0.192984888191,0.21858484053030455,0.172047678798
['restPointsX and anglesBetween'],0.0,46.7965437166,0.0187705766339,0.141090094795,0.0331331329084,0.0,3.6081826697e-08
['restPointsY and restSensorValues'],0.0,42466879.0842,0.001718235199,0.00173906269939,0.00172858621454,-0.01742310006172316,-0.0122640447736
['restPointsY and extensionSensorValues'],0.0,50585744.8114,0.0012337710708,0.00144739978323,0.00133207473723,-0.013980868285504065,-0.0128305450911
['restPointsY and restPointsX'],0.0,225.192452271,3.20342650381e-16,3.28516446759e-16,3.24378065169e-16,-0.018559038304378748,-0.0139543897508
['restPointsY and extensionPointsX'],0.0,209.328508068,0.0253899826062,0.0655906227619,0.0366087863301,0.029002166839811487,0.00900300401349
['restPointsY and extensionPointsY'],0.0,346.409322255,0.00121058061126,0.00217350033765,0.00155504398804,-0.009342620481199094,-0.0136410397991
['restPointsY and vectorsBetweenX'],0.0,258.726177241,6.40685300763e-16,1.27307439637e-15,8.52395474473e-16,-0.007509974184463789,-0.015182064111
['restPointsY and vectorsBetweenY'],0.0,347.351628346,0.0637326661956,0.0635430708305,0.0636377272984,0.07036437507998397,0.0504779282472
['restPointsY and anglesBetween'],0.0,67.6624694271,0.0175483894129,0.0178140956512,0.0176802443018,0.003554885379361996,0.00383181452488
['extensionPointsX and restSensorValues'],0.0,38532429.7674,0.0182350709806,0.0181442231538,0.0181895336328,0.0034108390839963057,0.00439779906185
['extensionPointsX and extensionSensorValues'],0.0,52343107.2374,0.00302752858446,0.00414731965276,0.00350004024684,-0.007313026060665483,-0.0112225360657
['extensionPointsX and restPointsX'],0.0,204.918018737,0.049484085088,0.119284516238,0.0699500393417,-0.05568130375735616,0.0321427450691
