Feature Combination,time,inertia,homogeneity_score,completeness_score,v_measure_score,adjusted_rand_score,adjusted_mutual_info_score
['restSensorValues and extensionSensorValues'],0.0,84939666.8651,0.00723071368208,0.0105004196244,0.00856409193179,-0.023472186156097037,-0.00672096345076
['restSensorValues and restPointsX'],0.0,45094336.1225,0.00534147792954,0.00555039589192,0.00544393327409,-0.009403699960451711,-0.00779011921237
['restSensorValues and restPointsY'],0.0,47823412.8764,0.0132299368604,0.0170752042322,0.0149086172,0.002450122506125376,3.50606989265e-06
['restSensorValues and extensionPointsX'],0.0,48356477.1883,0.012253618991,0.0147339454617,0.0133798034453,0.001182809830463887,-0.000911998045508
['restSensorValues and extensionPointsY'],0.0,45561707.6821,0.0160325246684,0.0191748793873,0.0174634702578,-0.007897854416216868,0.00283958243248
['restSensorValues and vectorsBetweenX'],0.0,49872454.6633,0.00178808142267,0.00188285914506,0.00183424678045,-0.014101212440695881,-0.0114006742847
['restSensorValues and vectorsBetweenY'],0.0,47012892.2688,0.00337923493291,0.00333465084577,0.00335679485727,-0.004361041363816625,-0.0103896900026
['restSensorValues and anglesBetween'],0.0,46582773.9483,0.0774447245923,0.0843165420693,0.0807346717035,0.07422852376980822,0.065230824019
['extensionSensorValues and restSensorValues'],0.0,86835620.6401,0.00713203255406,0.00776487134599,0.00743501006508,-0.00834028356964132,-0.00601275232767
['extensionSensorValues and restPointsX'],0.0,24626288.2474,0.00108473080905,0.00115800763346,0.00112017213717,-0.01392941176470583,-0.0121509396868
['extensionSensorValues and restPointsY'],0.0,22443606.6732,0.0206831187984,0.0228600293619,0.0217171574865,-0.0012986768553198966,0.00762528271443
['extensionSensorValues and extensionPointsX'],0.0,23896673.5731,0.000473172071489,0.000486424437525,0.000479706744584,-0.014948340294570232,-0.0128758461776
['extensionSensorValues and extensionPointsY'],0.0,24895957.877,0.0254627014207,0.0258791557124,0.0256692395531,0.02016091044410535,0.012587174809
['extensionSensorValues and vectorsBetweenX'],0.0,24172214.3208,0.0843091218447,0.0883041562612,0.0862604076733,0.07317073170731708,0.0721408180576
['extensionSensorValues and vectorsBetweenY'],0.0,23573982.0778,0.000387517334788,0.000383975536263,0.000385738305615,-0.015190636838236623,-0.0130617449902
['extensionSensorValues and anglesBetween'],0.0,23926559.7054,0.0956822048954,0.10178160517,0.0986377037619,0.1209412680379369,0.0836537042916
['restPointsX and restSensorValues'],0.0,47871328.5727,0.014389329877,0.014389329877,0.014389329877,-0.002512562814070403,0.00124734213825
['restPointsX and extensionSensorValues'],0.0,23981545.8997,0.0521307952996,0.0547568140195,0.0534115465973,0.07217466721972923,0.0393496203098
['restPointsX and restPointsY'],0.0,281.31608169,0.0137278311269,0.0133834697883,0.0135534634594,-0.002204095473126961,0.00034156088679
['restPointsX and extensionPointsX'],0.0,278.857878519,0.0242650866901,0.0259042661822,0.025057898042,0.008602352941176521,0.0113365542143
['restPointsX and extensionPointsY'],0.0,342.92183732,0.00180483729885,0.00195449715963,0.00187668823466,-0.016573268153094005,-0.0114871876875
['restPointsX and vectorsBetweenX'],0.0,392.954929304,0.0836165689487,0.0836165689487,0.0836165689487,0.11921637684349545,0.0710086390687
['restPointsX and vectorsBetweenY'],0.0,214.562819277,0.106960090112,0.109907568766,0.108413799642,0.1206100830732715,0.0951776372643
['restPointsX and anglesBetween'],0.0,125.52182182,0.000473172071489,0.000486424437525,0.000479706744584,-0.014948340294570232,-0.0128758475719
['restPointsY and restSensorValues'],0.0,46799154.1978,0.000879997007148,0.00093944344827,0.00090874908316,-0.016432941176470536,-0.0123583862204
['restPointsY and extensionSensorValues'],0.0,23078031.9775,0.0114981909184,0.0114981909184,0.0114981909184,-0.0027330129111299453,-0.00155006133269
['restPointsY and restPointsX'],0.0,287.449964217,0.000926057426318,0.00102718815335,0.000974004730932,-0.013204672422549486,-0.0123436507309
['restPointsY and extensionPointsX'],0.0,191.207488832,0.00104481457569,0.00103725897412,0.00104102306571,-0.017524685309414326,-0.0122883037066
['restPointsY and extensionPointsY'],0.0,156.46139432,0.0169056811885,0.0268604663021,0.0207509459212,0.005495943470295749,0.00343351137814
['restPointsY and vectorsBetweenX'],0.0,378.099303106,0.0828371769341,0.0819519042787,0.082392162695,0.09519831149415185,0.0698506756155
['restPointsY and vectorsBetweenY'],0.0,146.358082458,0.0346470532918,0.0464041387849,0.0396728691645,0.000732545690189655,0.0215794244021
['restPointsY and anglesBetween'],0.0,72.4746366231,0.00999288186919,0.0329859955721,0.0153389374834,0.014142448198070118,-0.00680585357535
['extensionPointsX and restSensorValues'],0.0,45891150.6545,0.0175522632485,0.0175522632485,0.0175522632485,0.007294317217981354,0.00458392628378
['extensionPointsX and extensionSensorValues'],0.0,24517669.6935,0.00713203255406,0.00776487134599,0.00743501006508,-0.00834028356964132,-0.00601275232767
['extensionPointsX and restPointsX'],0.0,286.587624586,0.000725453662451,0.000897009413738,0.000802161570268,-0.015044519496469072,-0.0127075123217
['extensionPointsX and restPointsY'],0.0,186.928347968,0.0286731372164,0.0312173591306,0.0298912073361,0.021684737281067602,0.0158135394857
['extensionPointsX and extensionPointsY'],0.0,193.976263062,0.107571675823,0.1422636827,0.12250902232,0.017662170841361634,0.0953141088325
['extensionPointsX and vectorsBetweenX'],0.0,325.502108698,0.0984283250114,0.106438555652,0.102276841582,0.1458093277168062,0.0861182102753
