Feature Combination,time,inertia,homogeneity_score,completeness_score,v_measure_score,adjusted_rand_score,adjusted_mutual_info_score
['anglesBetween and anglesBetween'],0,3.763958708,2.23E-05,2.26E-05,2.24E-05,-0.018805734,-0.013939036
['anglesBetween and extensionPointsX'],0,30.66697916,0.020950337,0.156850526,0.036963502,0.005931683,0.002220402
['anglesBetween and extensionPointsY'],0,144.7623501,0.094586047,0.159061429,0.118629146,-0.057800017,0.079859777
['anglesBetween and extensionSensorValues'],0,53635111.31,0.043984458,0.043675279,0.043829323,0.031467825,0.030208528
['anglesBetween and restPointsX'],0,43.62204519,0.005913951,0.01908649,0.009029966,0.000450892,-0.011631221
['anglesBetween and restPointsY'],0,69.30842781,0.004755109,0.005423772,0.005067478,-0.010413106,-0.009230594
['anglesBetween and restSensorValues'],0,40291059.91,0.04952712,0.049330912,0.049428821,0.049377506,0.036081541
['anglesBetween and vectorsBetweenX'],0,58.18361117,0.078104242,0.12905812,0.097314845,0.040241449,0.064619675
['anglesBetween and vectorsBetweenY'],0,213.4890536,0.118441472,0.116534484,0.11748024,0.150330474,0.104086724
['extensionPointsX and anglesBetween'],0,25.19568332,0.003284938,0.006423617,0.004346926,-0.015397218,-0.012195678
['extensionPointsX and extensionPointsX'],0,52.34574699,0.000153274,0.000668014,0.000249338,-0.001908259,-0.018904619
['extensionPointsX and extensionPointsY'],0,236.3193571,0.000123906,0.000245965,0.000164796,-0.006959427,-0.015077787
['extensionPointsX and extensionSensorValues'],0,51962452.27,0.00305241,0.003393287,0.003213835,-0.011141833,-0.010947963
['extensionPointsX and restPointsX'],0,197.7793295,0.001458884,0.006154241,0.002358643,0.004697083,-0.01783548
['extensionPointsX and restPointsY'],0,218.0041173,0.017798463,0.13365074,0.03141354,-0.002648872,-0.000990973
['extensionPointsX and restSensorValues'],0,39803534.56,0.000141934,0.000144979,0.000143441,-0.018650541,-0.013870219
['extensionPointsX and vectorsBetweenX'],0,164.8139567,7.93E-05,0.000207953,0.000114814,-0.00482268,-0.016419367
['extensionPointsX and vectorsBetweenY'],0,305.9308368,0.000498266,0.000986157,0.000662033,-0.00530231,-0.014762446
['extensionPointsY and anglesBetween'],0,128.9985242,0.046090675,0.060252272,0.05222853,0.021127746,0.032518892
['extensionPointsY and extensionPointsX'],0,215.823679,0.000153274,0.000668014,0.000249338,-0.001908259,-0.018904619
['extensionPointsY and extensionPointsY'],0,255.7946564,0.015221876,0.030126818,0.020224913,0.011337176,0.000185969
['extensionPointsY and extensionSensorValues'],0,51127159.87,0.011477611,0.012658034,0.012038956,-0.012507576,-0.002525854
['extensionPointsY and restPointsX'],0,287.6260072,0.06598556,0.118471777,0.084761351,0.04050146,0.052097092
['extensionPointsY and restPointsY'],0,322.3580738,0.012430762,0.017910744,0.014675883,0.008562697,-0.001819664
['extensionPointsY and restSensorValues'],0,39715104.74,0.00781825,0.007605277,0.007710293,-0.013077065,-0.006387185
['extensionPointsY and vectorsBetweenX'],0,272.0443316,0.00264316,0.003808372,0.003120542,-0.013685545,-0.011748499
['extensionPointsY and vectorsBetweenY'],0,397.8112935,0.002199112,0.00395224,0.002825856,-0.007204761,-0.012617592
['extensionSensorValues and anglesBetween'],0,52307588.02,0.005746309,0.007519334,0.006514334,-0.00765741,-0.008383455
['extensionSensorValues and extensionPointsX'],0,53544513.54,0.009577339,0.010880826,0.010187557,-0.011260104,-0.004401348
['extensionSensorValues and extensionPointsY'],0,53785411.59,0.002360931,0.00269026,0.002514859,-0.014806618,-0.011673651
['extensionSensorValues and extensionSensorValues'],0,101835437.5,0.000754314,0.000809231,0.000780808,-0.010129531,-0.013835911
['extensionSensorValues and restPointsX'],0,52074351.33,0.009893968,0.012116239,0.010892917,-0.023062069,-0.004530664
['extensionSensorValues and restPointsY'],0,50276744.09,0.001986884,0.002161523,0.002070528,-0.015796125,-0.01200788
['extensionSensorValues and restSensorValues'],0,115519999.8,0.000796626,0.000905048,0.000847383,-0.01683947,-0.013305991
['extensionSensorValues and vectorsBetweenX'],0,52400367.04,0.006486976,0.007211407,0.006830036,-0.011141833,-0.007465166
['extensionSensorValues and vectorsBetweenY'],0,53054935.53,0.000558879,0.000649798,0.000600919,-0.012116423,-0.013655085
['restPointsX and anglesBetween'],0,48.35912296,0.030906358,0.133086059,0.05016336,-0.016312328,0.012340433
['restPointsX and extensionPointsX'],0,215.7707862,7.93E-05,0.000207953,0.000114814,-0.00482268,-0.016419367
['restPointsX and extensionPointsY'],0,300.1776178,0.00744775,0.010172096,0.008599306,-0.012912158,-0.006788731
['restPointsX and extensionSensorValues'],0,52157242.71,0.04883625,0.0552065,0.051826359,0.017001546,0.035337823
['restPointsX and restPointsX'],0,86.41962042,0.040201402,0.175732648,0.065433856,0.008514504,0.021930022
['restPointsX and restPointsY'],0,227.867004,0.004248599,0.004467713,0.004355402,-0.012329742,-0.009667978
