Feature Combination,time,inertia,homogeneity_score,completeness_score,v_measure_score,adjusted_rand_score,adjusted_mutual_info_score
['anglesBetween and anglesBetween'],0,9.947394083,0.00181182,0.003062528,0.002276715,-0.00122958,-0.012210857
['anglesBetween and extensionPointsX'],0,68.22323989,0.009131459,0.009748317,0.009429811,-0.001411765,-0.003997528
['anglesBetween and extensionPointsY'],0,80.71605427,0.005557638,0.007809796,0.006493994,0.001157806,-0.007968284
['anglesBetween and extensionSensorValues'],0,22934383.43,0.017851313,0.017947094,0.017899076,0.00734421,0.00490906
['anglesBetween and restPointsX'],0,138.0158056,0.04907919,0.053073321,0.050998171,0.005119099,0.036095323
['anglesBetween and restPointsY'],0,73.67186342,0.002326677,0.005424676,0.003256585,-0.005649226,-0.012501096
['anglesBetween and restSensorValues'],0,44665795.19,0.000336183,0.000346,0.000341021,-0.01260745,-0.013443636
['anglesBetween and vectorsBetweenX'],0,180.468511,0.001300086,0.001307117,0.001303592,-0.015063098,-0.011939738
['anglesBetween and vectorsBetweenY'],0,50.03428669,0.119361472,0.119788601,0.119574655,0.147741194,0.107734788
['extensionPointsX and anglesBetween'],0,62.65500008,0.001808786,0.00182547,0.00181709,-0.01769728,-0.011617702
['extensionPointsX and extensionPointsX'],0,105.1453534,0.058766094,0.059514272,0.059137816,0.052702983,0.046282982
['extensionPointsX and extensionPointsY'],0,205.1944016,0.023755701,0.029506213,0.026320525,-0.027756806,0.010088336
['extensionPointsX and extensionSensorValues'],0,24654066.35,0.020799882,0.020799882,0.020799882,-0.002909443,0.007498289
['extensionPointsX and restPointsX'],0,279.6702253,0.034339963,0.042612643,0.038031631,0.011170982,0.021410487
['extensionPointsX and restPointsY'],0,182.1066512,0.010257311,0.010220737,0.010238992,-0.002657419,-0.002846885
['extensionPointsX and restSensorValues'],0,44479001.47,0.005407902,0.005436918,0.005422371,-0.010202735,-0.007698325
['extensionPointsX and vectorsBetweenX'],0,331.4554742,0.033503122,0.034627716,0.034056138,0.035427014,0.020669867
