Feature Combination,Score
['extensionPointsY and anglesBetween'],0.682099661
['anglesBetween and extensionPointsY'],0.682099661
['restPointsX and extensionPointsY'],0.674479923
['extensionPointsY and restPointsX'],0.674479923
['extensionPointsY and vectorsBetweenX'],0.674404508
['vectorsBetweenX and extensionPointsY'],0.674404508
['extensionPointsY and extensionPointsY'],0.674334785
['extensionPointsX and extensionPointsY'],0.655687413
['extensionPointsY and extensionPointsX'],0.655687413
['restPointsY and extensionPointsY'],0.639928569
['extensionPointsY and restPointsY'],0.639928569
['extensionPointsY and vectorsBetweenY'],0.635937278
['vectorsBetweenY and extensionPointsY'],0.635937278
['restPointsY and vectorsBetweenY'],0.632163693
['vectorsBetweenY and restPointsY'],0.632163693
['restPointsY and anglesBetween'],0.601679046
['anglesBetween and restPointsY'],0.601679046
['restPointsX and restPointsY'],0.589702325
['restPointsY and restPointsX'],0.589702325
['vectorsBetweenX and vectorsBetweenX'],0.582601952
['restPointsY and vectorsBetweenX'],0.581937448
['vectorsBetweenX and restPointsY'],0.581937448
['restPointsX and vectorsBetweenX'],0.574460002
['vectorsBetweenX and restPointsX'],0.574460002
['vectorsBetweenX and vectorsBetweenY'],0.571060645
['vectorsBetweenY and vectorsBetweenX'],0.571060645
['vectorsBetweenX and anglesBetween'],0.566767694
['anglesBetween and vectorsBetweenX'],0.566767694
['restPointsX and extensionPointsX'],0.559220524
['extensionPointsX and restPointsX'],0.559220524
['extensionPointsX and vectorsBetweenX'],0.55907254
['vectorsBetweenX and extensionPointsX'],0.55907254
['restPointsY and extensionPointsX'],0.555377216
['extensionPointsX and restPointsY'],0.555377216
['extensionSensorValues and vectorsBetweenX'],0.548053445
['vectorsBetweenX and extensionSensorValues'],0.548053445
['extensionSensorValues and restPointsX'],0.547980876
['restPointsX and extensionSensorValues'],0.547980876
['restPointsY and restPointsY'],0.547383249
['extensionSensorValues and extensionSensorValues'],0.544134722
['extensionSensorValues and extensionPointsX'],0.544062153
['extensionPointsX and extensionSensorValues'],0.544062153
['extensionSensorValues and anglesBetween'],0.543989584
['anglesBetween and extensionSensorValues'],0.543989584
['extensionPointsX and extensionPointsX'],0.543908478
['restPointsX and vectorsBetweenY'],0.541237656
['vectorsBetweenY and restPointsX'],0.541237656
['restSensorValues and extensionPointsY'],0.53665443
['extensionPointsY and restSensorValues'],0.53665443
['restPointsX and anglesBetween'],0.536509292
['anglesBetween and restPointsX'],0.536509292
['extensionPointsX and anglesBetween'],0.536506446
['anglesBetween and extensionPointsX'],0.536506446
['extensionSensorValues and restPointsY'],0.532813967
['restPointsY and extensionSensorValues'],0.532813967
['restSensorValues and extensionSensorValues'],0.532587723
['restSensorValues and vectorsBetweenY'],0.532587723
['extensionSensorValues and restSensorValues'],0.532587723
['vectorsBetweenY and restSensorValues'],0.532587723
['vectorsBetweenY and vectorsBetweenY'],0.532361479
['restSensorValues and restPointsX'],0.528814138
['restPointsX and restSensorValues'],0.528814138
['extensionPointsX and vectorsBetweenY'],0.525113122
['vectorsBetweenY and extensionPointsX'],0.525113122
['extensionSensorValues and vectorsBetweenY'],0.521275506
['vectorsBetweenY and extensionSensorValues'],0.521275506
['restSensorValues and restPointsY'],0.521194399
['restPointsY and restSensorValues'],0.521194399
['restPointsX and restPointsX'],0.517713936
['anglesBetween and anglesBetween'],0.517644213
['restSensorValues and anglesBetween'],0.517568798
['anglesBetween and restSensorValues'],0.517568798
['restSensorValues and vectorsBetweenX'],0.517348246
['vectorsBetweenX and restSensorValues'],0.517348246
['restSensorValues and restSensorValues'],0.513429523
['extensionSensorValues and extensionPointsY'],0.509809613
['extensionPointsY and extensionSensorValues'],0.509809613
['restSensorValues and extensionPointsX'],0.506030337
['extensionPointsX and restSensorValues'],0.506030337
['vectorsBetweenY and anglesBetween'],0.482788355
['anglesBetween and vectorsBetweenY'],0.482788355
