Feature Combination,Score
['restPointsY and anglesBetween'],0.64886856
['anglesBetween and restPointsY'],0.64886856
['vectorsBetweenY and anglesBetween'],0.6271228
['anglesBetween and vectorsBetweenY'],0.6271228
['restPointsY and restPointsY'],0.622316244
['restPointsX and vectorsBetweenY'],0.619650594
['vectorsBetweenY and restPointsX'],0.619650594
['vectorsBetweenY and vectorsBetweenY'],0.615664824
['restPointsY and vectorsBetweenX'],0.611132711
['vectorsBetweenX and restPointsY'],0.611132711
['restPointsX and restPointsY'],0.607982974
['restPointsY and restPointsX'],0.607982974
['restPointsY and vectorsBetweenY'],0.604758275
['vectorsBetweenY and restPointsY'],0.604758275
['restPointsY and extensionPointsX'],0.600161362
['extensionPointsX and restPointsY'],0.600161362
['extensionPointsX and vectorsBetweenY'],0.597004002
['vectorsBetweenY and extensionPointsX'],0.597004002
['extensionPointsY and vectorsBetweenY'],0.589663935
['vectorsBetweenY and extensionPointsY'],0.589663935
['restPointsY and extensionPointsY'],0.589596595
['extensionPointsY and restPointsY'],0.589596595
['vectorsBetweenX and vectorsBetweenY'],0.566885204
['vectorsBetweenY and vectorsBetweenX'],0.566885204
['anglesBetween and anglesBetween'],0.563530907
['extensionSensorValues and extensionPointsX'],0.53677403
['extensionPointsX and extensionSensorValues'],0.53677403
['extensionPointsY and anglesBetween'],0.529918048
['anglesBetween and extensionPointsY'],0.529918048
['extensionSensorValues and vectorsBetweenY'],0.529364081
['vectorsBetweenY and extensionSensorValues'],0.529364081
['extensionSensorValues and extensionSensorValues'],0.52586748
['extensionSensorValues and extensionPointsY'],0.525864939
['extensionPointsY and extensionSensorValues'],0.525864939
['extensionSensorValues and restPointsY'],0.525727717
['restPointsY and extensionSensorValues'],0.525727717
['extensionSensorValues and vectorsBetweenX'],0.522161235
['vectorsBetweenX and extensionSensorValues'],0.522161235
['extensionSensorValues and anglesBetween'],0.521954133
['anglesBetween and extensionSensorValues'],0.521954133
['extensionPointsY and extensionPointsY'],0.51496093
['extensionSensorValues and restPointsX'],0.514818627
['restPointsX and extensionSensorValues'],0.514818627
['restSensorValues and restPointsX'],0.511045042
['restPointsX and restSensorValues'],0.511045042
['restSensorValues and anglesBetween'],0.507341338
['anglesBetween and restSensorValues'],0.507341338
['restSensorValues and extensionSensorValues'],0.503774855
['extensionSensorValues and restSensorValues'],0.503774855
['restSensorValues and restPointsY'],0.503704974
['restPointsY and restSensorValues'],0.503704974
['restSensorValues and restSensorValues'],0.503635093
['restSensorValues and vectorsBetweenY'],0.503567753
['vectorsBetweenY and restSensorValues'],0.503567753
['restSensorValues and extensionPointsY'],0.499931389
['extensionPointsY and restSensorValues'],0.499931389
['restSensorValues and vectorsBetweenX'],0.499794168
['vectorsBetweenX and restSensorValues'],0.499794168
['restSensorValues and extensionPointsX'],0.492591322
['extensionPointsX and restSensorValues'],0.492591322
['extensionPointsX and extensionPointsY'],0.488268852
['extensionPointsY and extensionPointsX'],0.488268852
['restPointsX and anglesBetween'],0.488064291
['anglesBetween and restPointsX'],0.488064291
['vectorsBetweenX and anglesBetween'],0.488054126
['anglesBetween and vectorsBetweenX'],0.488054126
['restPointsX and extensionPointsY'],0.480998666
['extensionPointsY and restPointsX'],0.480998666
['restPointsX and restPointsX'],0.477636745
['extensionPointsX and extensionPointsX'],0.462464901
['extensionPointsX and anglesBetween'],0.458895877
['anglesBetween and extensionPointsX'],0.458895877
['vectorsBetweenX and vectorsBetweenX'],0.454985071
['extensionPointsY and vectorsBetweenX'],0.447033861
['vectorsBetweenX and extensionPointsY'],0.447033861
['restPointsX and vectorsBetweenX'],0.436261991
['vectorsBetweenX and restPointsX'],0.436261991
['restPointsX and extensionPointsX'],0.424871355
['extensionPointsX and restPointsX'],0.424871355
['extensionPointsX and vectorsBetweenX'],0.409911696
['vectorsBetweenX and extensionPointsX'],0.409911696
