Feature Combination,Score
['anglesBetween and anglesBetween'],0.60583571
['vectorsBetweenX and vectorsBetweenX'],0.581209489
['extensionPointsX and anglesBetween'],0.577761213
['anglesBetween and extensionPointsX'],0.577761213
['extensionPointsX and vectorsBetweenX'],0.574375594
['vectorsBetweenX and extensionPointsX'],0.574375594
['vectorsBetweenX and anglesBetween'],0.57055786
['anglesBetween and vectorsBetweenX'],0.57055786
['extensionPointsX and extensionPointsX'],0.566869761
['vectorsBetweenY and anglesBetween'],0.566794141
['anglesBetween and vectorsBetweenY'],0.566794141
['restPointsX and anglesBetween'],0.566673148
['anglesBetween and restPointsX'],0.566673148
['extensionPointsX and extensionPointsY'],0.564097744
['extensionPointsY and extensionPointsX'],0.564097744
['vectorsBetweenX and vectorsBetweenY'],0.563847118
['vectorsBetweenY and vectorsBetweenX'],0.563847118
['restPointsX and restPointsX'],0.55602368
['restPointsX and vectorsBetweenX'],0.549751534
['vectorsBetweenX and restPointsX'],0.549751534
['restPointsX and vectorsBetweenY'],0.548692853
['vectorsBetweenY and restPointsX'],0.548692853
['restPointsX and extensionPointsX'],0.539160401
['extensionPointsX and restPointsX'],0.539160401
['restPointsX and extensionPointsY'],0.538909774
['extensionPointsY and restPointsX'],0.538909774
['extensionPointsY and vectorsBetweenX'],0.535895774
['vectorsBetweenX and extensionPointsY'],0.535895774
['extensionPointsY and anglesBetween'],0.524814191
['anglesBetween and extensionPointsY'],0.524814191
['restPointsY and extensionPointsX'],0.524505229
['extensionPointsX and restPointsY'],0.524505229
['extensionSensorValues and restPointsY'],0.521115288
['restPointsY and extensionSensorValues'],0.521115288
['restSensorValues and anglesBetween'],0.520929479
['anglesBetween and restSensorValues'],0.520929479
['restPointsY and anglesBetween'],0.518096967
['anglesBetween and restPointsY'],0.518096967
['restSensorValues and vectorsBetweenY'],0.517608677
['vectorsBetweenY and restSensorValues'],0.517608677
['extensionSensorValues and anglesBetween'],0.514223058
['anglesBetween and extensionSensorValues'],0.514223058
['extensionSensorValues and vectorsBetweenY'],0.510588972
['vectorsBetweenY and extensionSensorValues'],0.510588972
['extensionSensorValues and extensionPointsY'],0.51046798
['extensionPointsY and extensionSensorValues'],0.51046798
['restSensorValues and restPointsY'],0.510217354
['restPointsY and restSensorValues'],0.510217354
['restPointsY and vectorsBetweenX'],0.507391323
['vectorsBetweenX and restPointsY'],0.507391323
['extensionSensorValues and extensionPointsX'],0.507080201
['extensionPointsX and extensionSensorValues'],0.507080201
['restSensorValues and extensionSensorValues'],0.503508772
['extensionSensorValues and restSensorValues'],0.503508772
['restSensorValues and extensionPointsY'],0.503262467
['extensionPointsY and restSensorValues'],0.503262467
['vectorsBetweenY and vectorsBetweenY'],0.503255985
['extensionPointsX and vectorsBetweenY'],0.500002161
['vectorsBetweenY and extensionPointsX'],0.500002161
['extensionSensorValues and vectorsBetweenX'],0.496428571
['vectorsBetweenX and extensionSensorValues'],0.496428571
['restSensorValues and restSensorValues'],0.496365915
['restSensorValues and restPointsX'],0.496363754
['restPointsX and restSensorValues'],0.496363754
['restSensorValues and extensionPointsX'],0.496242762
['extensionPointsX and restSensorValues'],0.496242762
['extensionSensorValues and extensionSensorValues'],0.492982456
['extensionSensorValues and restPointsX'],0.48972215
['restPointsX and extensionSensorValues'],0.48972215
['restSensorValues and vectorsBetweenX'],0.489469363
['vectorsBetweenX and restSensorValues'],0.489469363
['restPointsY and vectorsBetweenY'],0.482447498
['vectorsBetweenY and restPointsY'],0.482447498
['restPointsY and extensionPointsY'],0.47530248
['extensionPointsY and restPointsY'],0.47530248
['restPointsX and restPointsY'],0.465031112
['restPointsY and restPointsX'],0.465031112
['extensionPointsY and vectorsBetweenY'],0.457389163
['vectorsBetweenY and extensionPointsY'],0.457389163
['extensionPointsY and extensionPointsY'],0.447480771
['restPointsY and restPointsY'],0.436831302
